"Wishkah River Distillery","077099","2210 Port Industrial Rd","Aberdeen, WA.  98520-4558","360-589-1829","Wishkah River Distillery, LLC","Susan M Watts (LLC Member), James S Watts (LLC Member)",
"Sun Liquor Mfg","081070","514 E Pike St","Seattle, WA.  98122-3618","206-579-3984","Sun Liquor Mfg, Inc.","Michael James Klebeck (Corporate)",
"Headwaters Spirits and Brewing Co.","081849","21328 State Route 207","Leavenworth, WA.  98826-9554","206-799-1090","Turner Kangas","Turner Kangas (Sole-Prop)","07/09/10 withdraw"
"Mt St Helens Spirits","404075","39704 NE 216th Ave","Amboy, WA.  98601-3305","360-686-3342","Mt St Helens Spirits LLC","Margaret Stroebe (LLC Member), David Zine (LLC Member)",
"Hidden Cove Distillery","404158","6853 NE Hidden Cove Rd","Bainbridge Island, WA.  98110-4213","206-855-0633","Mitchell J. Shirbroun","Mitchell Shirbroun (Sole-Prop), Karyn Shirbroun (Spouse)","01-28-10 withdraw"
"Marrinier Distilleries","404277","22721 37th Ave NE","Arlington, WA.  98223-9059","360-453-7230","Michael L. Marrinier","Michael Marrinier (Sole-Prop), Kathleen Marrinier (Spouse)","06-07/10 withdraw"
"Black Sam","404855","426 S Fleet St","Montessano, WA.  98563","360-580-0304","Black Sam Inc","Bob Bellamy (Corporate Officer), Laura L Koehler (Corporate)",
"Ezra Cox Distillery","405027","719 N Tower Ave","Centralia, WA.  98531-4754","360-304-8931","Chehalis Brewing Group, LLC","Esra Cox III (LLC Member), Michael Saville (LLC Member), Lynn Saville (Spouse), Raymond Watson (LLC Member)",
"Eagle Cliffs Distillery","405260","160 Whitewater Rd","Longview, WA.  98632-8197","360-261-0390","Koehler Enterprises, Inc","John F Koehler (Corporate), Laura L Koehler (Corporate)",
"Whidbey Island Distillery","405292","3466 Craw Rd","Langley, WA.  98260-9505","360-321-4715","Whidbey Island Distilleries, LLC","James Heising (LLC Member), Elizabeth Heising (Spouse), Beverly Heising (LLC Member), Steven Heising (LLC Member)",
"Batch 206 Distillery","405577","3257 25th Ave W","Seattle, WA.  98199-2815","206-628-0221","Batch 206 Distillery, LLC",,"10-14-09 withdraw"
"Bach Spirits","405737","3630 Inverness Dr NE","Tacoma, WA.  98422-2200","425-742-5278","Bach Spirits Inc","Wlodimierz Bachowski (Corporate), Janusz Ochnik (Corporate)","01-20-10 withdraw"
"Cattle Drive Distillery","405903","32 Thurlow Rd","Twisp, WA.  98856-9741","509-860-0453","Michael Fort","Michael Fort (Sole-Prop)","02-18-10 withdraw"
"Schnap Sleiche","405937","16737 NE 35th St","Bellevue, WA.  98008-6159","425-881-7356","Schnapsleiche LLC","Robert Collins Jr (LLC Member), David Groom (LLC Member), Markus Zimprich (LLC Member)","01-29-10 withdraw 05-07-10 withdraw"
"RBDL","405948","22810 127th Ave NE","Arlington, WA.  98223-8536","206-300-3116","RBDL, LLC","Reid Jensen",
"Vancouver Distillery Works","405974","3315 NE 112th Ave Ste A26","Vancouver, WA.  98682-8733","360-600-2660","Vancouver Distillery Works","John Bennett (Corporate), Adam Zahn (Corporate)",
"Meriwether Distilleries","406021","5909 Airport Way S","Seattle, WA.  98108-2714","425-894-1795","Meriwether Distilleries, LLC","Whitney Meriwether (LLC Member)","03-29-10 withdraw"
"Stil173","406052","3400 Phinney Ave N","Seattle, WA.  98103-8624","206-718-4646","Stil173 LLC","Kevin Anderson Eckert (LLC Member), Ericka Eckert (Spouse), Chase Jarvis (LLC Member), Kate Jarvis (Spouse), Donald Clarence Summers (LLC Member), Chase O'Conner (Spouse)","05-05-10 withdraw"
"Pacific Flyway Distillery","406117","40011 NW 9th Ave","Woodland, WA.  98674-3100","360-263-2606","Pacific Flyway Distillery, LLC","Gary William nault (LLC Member), Kim Leeann Nault (Spouse)",
"North Sound Brewing","406231","17406 State Route 536 Unit A","Mt Vernon, WA.  98273-8755","360-202-6067","North Sound Brewing Co., LLC","Kurt Ahrens (LLC Member), Lori Ahrens (LLC Member)","incorrect privilege applied for"
"Fremont Mischief","406234","135 N Canal St","Seattle, WA.  98103 ","425-359-5355","Fremont Mischief Inc.","Michael Sherlock (Corporate)",
"Leavenworth Lightning Distillery","406238","13065 Chumstick Hwy","Leavenworth, WA.  98826-9248","509-548-4398","Pacific Crown Ltd","Donald Gates (Corporate), pamela Owens (Corporate)","07-09-10 withdraw"
"Mac Donald Distilleries","406299","131 Cedar Ave","Snohomish, WA.  98290-2955","425-725-1328","Mac Donald Distilleries, LLC","Glen Allen Mac Donald (LLC Member)","06-14-10 withdraw"
"Double V Distillery","406322","1315 SE Grace Ave Ste 118","Battle Ground, WA.  98604-8487","360-606-9423","Wysocki Spirits, LLC","John Vissotzky (LLC Member), Michele Vissotzky (Spouse)",
"Pumice Stone Distillery","406398","7206 Hwy 97","Peshastin, WA.  98847-0023","509-548-5947","Gary Smithson","Gary Smithson (Sole Prop), Teresa Smithson (Spouse)","05-10-10 withdraw"
"Project V Distillery and Sausage Company","406429","19495 44th Ave NE Ste A130","Woodinville, WA.  98072-4400","206-947-3667","Project V Distillery and Sausage Company, Inc.","Mo Heck (Corporate), Allen Heck (Corporate), Roger Kenney III (Corporate), Perry Sanders (Corporate)",
"RnR Distillery","406492","45203 244th Ave SE","Enumclaw, WA. 98022-9482","253-651-8546","Gary Whisler","Gary Whisler (Sole-Prop), Teresa Whisler (Spouse)",
"Everett Distilling","406510","2110 Hewitt Ave","Everett, WA.  98201-3616","425-293-3606","Everett Distilling LLC","Richard Haines (LLC Member), Lisa haines (Spouse), Brian Sullivan (LLC Member), Debra Sullivan (Spouse)","going to be withdrawn"
"West Seattle Distillery","406549","9006 29th Ave SW","Seattle, WA.  98136-2514","206-351-9304","Jeffrey Gilbert","Jeffrey Gilbert (Sole-Prop), Bonnie Gilbert (Spouse)","06-14-10 withdraw"
"Cascade Distillers","406584","605 218th Ave SE","Sammamish, WA.  98074-7004","206-588-5509","Cascade Distillers, LLC","Matthew Gaffin (LLC Member), Brianna Hughes (LLC Member)",
"San Juan Island Distillery","406724","258 Otter Lane","Friday Harbor, WA.  98250-9554","360-378-2606","San Juan Island Distillery LLC","Hawkins Pingree (LLC Member), Suzanne Pingree (Spouse)",
"Mac Donald Distilleries","406762","104 Avenue C","Snohomish, WA.  98290-2741","425-275-1328","Mac Donald Distilleries, LLC","Glen A Mac Donald (LLC Member)",
"Four Lakes Chelan","406780","223 Howard Flats Rd","Chelan, WA.  98816-9257","206-295-6950","Four Lakes Chelan LLC",,
"Oola Distillery","406794","1413 E Union St","Seattle, WA.  98122-4149","360-589-1829","Oola Industries, LLC","Kirby Kallas-Lewis (Member)",
"J.P. Trodden Distilling","406895","18646 142nd Ave NE","Woodinville, WA.  98072-8521","206-399-6291","J.P. Trodden Distilling L.L.C.",,
